ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
400720,ENSG00000197128,ZNF772,ZNF772,uc061dki.1,ZNF772
400728,ENSG00000177757,FAM87B,FAM87B,uc031tlt.2,FAM87B
400735,ENSG00000282584,PRAMEF4,PRAMEF4,,PRAMEF4
400736,ENSG00000282741,PRAMEF13,PRAMEF13,,PRAMEF13
400743,ENSG00000281226,LINC02783,LINC02783,,LINC02783
400745,ENSG00000189410,SH2D5,SH2D5,uc009vpy.3,SH2D5
400746,ENSG00000184454,NCMAP,NCMAP,uc001bjk.4,C1orf130
400748,ENSG00000235143,,,uc057ecm.1,LOC400748
400752,ENSG00000281912,LINC01144,LINC01144,uc010olk.2,LINC01144
400757,ENSG00000203963,C1orf141,C1orf141,uc289heb.1,C1orf141
400759,ENSG00000290525,GBP1P1,GBP1P1,uc286ein.1,LIMIT
400765,ENSG00000225206,MIR137HG,MIR137HG,uc285gtb.1,MIR137HG
400793,ENSG00000239887,C1orf226,C1orf226,uc010pkt.2,C1orf226
400794,ENSG00000237463,LRRC52-AS1,LRRC52-AS1,uc001gdd.3,LRRC52-AS1
400797,ENSG00000188585,CLEC20A,CLEC20A,uc057noi.2,LINC00083
400798,ENSG00000213057,C1orf220,C1orf220,uc057noo.1,C1orf220
400800,ENSG00000231718,LINC02789,LINC02789,uc057oez.1,LINC02789
400804,ENSG00000234754,LINC02817,LINC02817,uc057pov.1,C1orf140
400818,ENSG00000269713,NBPF9,NBPF9,uc316cah.1,AE01
400823,ENSG00000197520,FAM177B,FAM177B,uc057pqx.2,FAM177B
400830,ENSG00000186458,DEFB132,DEFB132,uc002wdb.5,BD-32
400831,ENSG00000215595,C20orf202,C20orf202,uc002wer.6,C20orf202
400839,ENSG00000230133,LINC01721,LINC01721,uc002wtv.1,LINC01721
400866,ENSG00000223806,LINC00114,LINC00114,uc062acm.1,C21orf24
400891,ENSG00000187905,LRRC74B,LRRC74B,uc062bxn.2,LRRC74B
400916,ENSG00000250479,CHCHD10,CHCHD10,uc062cgf.1,C22orf16
400931,ENSG00000197182,MIRLET7BHG,MIRLET7BHG,,linc-Ppara
400932,ENSG00000205634,LINC00898,LINC00898,uc003bii.3,LINC00898
